Minimum PWM Length:	10
Minimum PWM Information:	0.500000
Correlation with SVM weights:	0.394170
Cluster ID	Motif ID	Motif Name	Regression Weight	Z-score	Importance
1	844	NFKB1	0.697	8.886	1.000
1	1043	NFkB-p65	0.697	8.886	1.000
1	567	V_CREL_01	0.697	8.886	1.000
1	597	MA0101.1 REL	0.697	8.886	1.000
1	1757	MA0101.1 REL	0.697	8.886	1.000
1	185	V_NFKAPPAB65_01	0.697	8.886	1.000
1	184	MA0107.1 RELA	0.697	8.886	1.000
1	1758	MA0107.1 RELA	0.697	8.886	1.000
1	324	MA0061.1 NF-kappaB	0.697	8.886	1.000
1	322	V_NFKAPPAB_01	0.697	8.886	1.000
1	200	V_NFKB_Q6	0.697	8.886	1.000
1	933	NFkB-p65-Rel	0.697	8.886	1.000
2	1217	PU.1:IRF8	0.123	8.546	0.028
2	1118	PU.1-IRF	0.123	8.546	0.028
3	853	PU1	0.492	8.184	0.677
3	1824	MA0081.2 SPIB	0.492	8.184	0.677
3	978	PU.1	0.492	8.184	0.677
3	1823	MA0080.5 SPI1	0.492	8.184	0.677
4	1008	RUNX2	1.000	6.799	0.720
4	998	RUNX	1.000	6.799	0.720
4	992	RUNX1	1.000	6.799	0.720
4	601	MA0002.2 RUNX1	1.000	6.799	0.720
4	1774	MA0002.2 RUNX1	1.000	6.799	0.720
4	1044	RUNX-AML	1.000	6.799	0.720
5	1091	ISRE	0.215	6.563	0.074
5	1505	MA0050.2 IRF1	0.215	6.563	0.074
5	914	IRF1	0.215	6.563	0.074
6	1096	BATF	0.587	6.459	0.606
6	1128	Atf3	0.587	6.459	0.606
6	1106	Fra1	0.587	6.459	0.606
6	1374	MA1137.1 FOSL1::JUNB	0.587	6.459	0.606
6	1522	MA0489.1 JUN(var.2)	0.587	6.459	0.606
6	1790	MA1622.1 Smad2::Smad3	0.587	6.459	0.606
6	1039	Jun-AP1	0.587	6.459	0.606
6	1257	MA1634.1 BATF	0.587	6.459	0.606
6	1029	Fosl2	0.587	6.459	0.606
6	1372	MA1128.1 FOSL1::JUN	0.587	6.459	0.606
6	1259	MA0835.2 BATF3	0.587	6.459	0.606
6	1258	MA0462.2 BATF::JUN	0.587	6.459	0.606
6	1375	MA1142.1 FOSL1::JUND	0.587	6.459	0.606
6	1380	MA1138.1 FOSL2::JUNB	0.587	6.459	0.606
6	895	AP-1	0.587	6.459	0.606
6	1369	MA1135.1 FOSB::JUNB	0.587	6.459	0.606
6	1366	MA1134.1 FOS::JUNB	0.587	6.459	0.606
6	1205	Fra2	0.587	6.459	0.606
6	1378	MA1130.1 FOSL2::JUN	0.587	6.459	0.606
6	306	Jundm2_secondary	0.587	6.459	0.606
6	1382	MA1144.1 FOSL2::JUND	0.587	6.459	0.606
6	1363	MA0476.1 FOS	0.587	6.459	0.606
6	1367	MA1141.1 FOS::JUND	0.587	6.459	0.606
6	813	AP1	0.587	6.459	0.606
6	1364	MA0099.3 FOS::JUN	0.587	6.459	0.606
6	1377	MA0478.1 FOSL2	0.587	6.459	0.606
6	1371	MA0477.2 FOSL1	0.587	6.459	0.606
