Correlation with SVM weight vector:	0.835
Max PWM Correlation:	0.900
MOTIF	ID	Similarity	Redundancy	Weight	Z	Error
IRF1	1505	0.876	0.421	0.81	7.024	0.052
NFkB-p65	1043	0.931	0.475	1.43	6.201	0.073
RUNX1	992	0.923	0.441	2.30	6.143	0.056
Fra1	1106	0.931	0.315	1.67	5.684	0.098
bZIP:IRF	955	0.870	0.421	1.81	5.514	0.052
RUNX2	1008	0.949	0.441	2.27	5.446	0.064
PU1	853	0.909	0.373	0.97	5.434	0.032
SpiB	1105	0.923	0.373	0.84	4.603	0.036
NFKB1	844	0.806	0.475	1.43	3.623	0.033
Etv2	1193	0.973	0.308	1.18	3.375	0.035
EBF1	512	0.911	0.393	1.53	3.309	0.035
POU2F2	851	0.940	0.517	2.11	3.111	0.055
UA3	875	0.713	0.000	-5.92	2.079	0.074
Tgif1	1168	0.639	0.307	3.50	1.729	0.043
PAX6	1185	0.722	0.240	5.06	1.503	0.061
SOX10	1800	0.637	0.221	3.09	0.576	0.045
Mef2c	1090	0.927	0.517	5.35	0.423	0.045
NFATC2	647	0.591	0.000	-4.41	-0.627	0.069
V_PAX2_02	773	0.672	0.000	-3.77	-1.073	0.038
ETS1	753	0.635	0.000	-3.24	-1.982	0.066
NFATC2	1613	0.613	0.000	-5.77	-2.609	0.071
V_IK2_01	693	0.766	0.000	-3.70	-3.097	0.059
